candidate,candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
Jean-Luc Mélenchon,JLM,79,12,4,5,,,,pt4,lfi
Sandrine Rousseau,SR,17,44,14,25,,,,pt4,lfi
Lucie Castets,LC,24,33,10,33,,,,pt4,lfi
Marine Tondelier,MT,18,38,14,30,,,,pt4,lfi
Dominique de Villepin,DV,5,35,31,29,,,,pt4,lfi
François Ruffin,FR,10,21,22,47,,,,pt4,lfi
Olivier Faure,OF,4,23,38,35,,,,pt4,lfi
Fabien Roussel,FRo,1,19,48,32,,,,pt4,lfi
Anne Hidalgo,AH,2,16,48,34,,,,pt4,lfi
Raphaël Glucksmann,RG,3,2,78,17,,,,pt4,lfi
