personnalite,candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
Emmanuel Macron,EM,56,29,5,10,,,,pt4,renaissance
Gabriel Attal,GA,40,38,8,14,,,,pt4,renaissance
Edouard Philippe,EP,37,41,9,13,,,,pt4,renaissance
Raphaël Glucksmann,RG,12,55,12,21,,,,pt4,renaissance
Yaël Braun-Pivet,YBP,30,35,6,29,,,,pt4,renaissance
Gérald Darmanin,GD,29,36,14,21,,,,pt4,renaissance
Bernard Cazeneuve,BC,16,48,7,29,,,,pt4,renaissance
Michel Barnier,MBa,15,35,10,40,,,,pt4,renaissance
Bruno Retailleau,BR,18,23,26,33,,,,pt4,renaissance
François Bayrou,FB,13,27,15,45,,,,pt4,renaissance
