candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,16,49,23,4,8,,,pt2,macron
GA,10,55,21,4,10,,,pt2,macron
GD,10,50,20,8,12,,,pt2,macron
XB,9,36,30,8,17,,,pt2,macron
BC,8,37,27,6,22,,,pt2,macron
RG,6,34,20,17,23,,,pt2,macron
BR,9,27,27,18,19,,,pt2,macron
YBP,10,24,13,10,43,,,pt2,macron
FH,3,28,31,26,12,,,pt2,macron
NS,11,19,26,35,9,,,pt2,macron
GL,4,26,23,20,27,,,pt2,macron
DV,4,26,29,21,20,,,pt2,macron
RD,4,26,30,26,14,,,pt2,macron
FB,2,26,36,25,11,,,pt2,macron
JB,8,18,16,50,8,,,pt2,macron
JNB,4,22,12,7,55,,,pt2,macron
LW,3,22,36,20,19,,,pt2,macron
FRo,1,20,35,21,23,,,pt2,macron
AdM,4,16,14,9,57,,,pt2,macron
MLP,7,12,27,50,4,,,pt2,macron
AB,2,17,21,17,43,,,pt2,macron
FR,2,17,32,25,24,,,pt2,macron
MM,3,14,24,54,5,,,pt2,macron
OF,2,15,36,19,28,,,pt2,macron
EC,4,11,25,45,15,,,pt2,macron
DL,3,12,12,10,63,,,pt2,macron
SK,8,6,8,31,47,,,pt2,macron
MT,3,8,22,38,29,,,pt2,macron
EZ,3,5,9,76,7,,,pt2,macron
JLM,1,2,11,81,5,,,pt2,macron
